Freq [GHz] , NETarr [microK/rtHz] , Sensitivity [microK -arcmin]
40.0  ,  20.24  ,  40.95
50.0  ,  10.72  ,  21.69
60.0  ,  8.76  ,  17.73
68.0  ,  5.6  ,  11.32
78.0  ,  4.69  ,  9.49
89.0  ,  3.97  ,  8.04
100.0  ,  2.84  ,  5.74
119.0  ,  2.0  ,  4.04
140.0  ,  2.11  ,  4.27
166.0  ,  2.27  ,  4.59
195.0  ,  2.48  ,  5.01
235.0  ,  5.47  ,  11.07
280.0  ,  6.72  ,  13.59
337.0  ,  9.67  ,  19.57
402.0  ,  19.96  ,  40.39
Averaged_sensitivity =  1.85
T_HWP= [ 20.0 20.0 20.0 ] K, T_stop= [ 2.0 2.0 2.0 ] K, Duty cycle=  0.85  T_bath=  0.1
